time,Q_orifice,Q_pump,is_downhill,sea_level,storage_level
2013-05-19 22:00:00,6.720000,0.000000,1.000000,0.000000,0.400000
2013-05-19 23:00:00,5.759320,0.000000,1.000000,0.100000,0.393808
2013-05-20 00:00:00,4.644517,0.000000,1.000000,0.200000,0.391074
2013-05-20 01:00:00,3.228997,2.869388,1.000000,0.300000,0.392354
2013-05-20 02:00:00,0.000000,7.000000,-0.000000,0.400000,0.388400
2013-05-20 03:00:00,0.000000,7.000000,0.000000,0.500000,0.381200
2013-05-20 04:00:00,0.000000,0.000000,0.000000,0.600000,0.374000
2013-05-20 05:00:00,0.000000,0.000000,0.000000,0.700000,0.392000
2013-05-20 06:00:00,0.000000,0.000000,0.000000,0.800000,0.410000
2013-05-20 07:00:00,0.000000,0.000000,0.000000,0.900000,0.428000
2013-05-20 08:00:00,0.000000,0.000000,0.000000,1.000000,0.446000
2013-05-20 09:00:00,0.000000,0.000000,0.000000,0.900000,0.464000
2013-05-20 10:00:00,0.000000,0.000000,0.000000,0.800000,0.482000
2013-05-20 11:00:00,0.000000,5.000000,0.000000,0.700000,0.500000
2013-05-20 12:00:00,0.000000,5.000000,0.000000,0.600000,0.500000
2013-05-20 13:00:00,0.000000,5.000000,1.000000,0.500000,0.500000
2013-05-20 14:00:00,3.360000,1.640000,1.000000,0.400000,0.500000
2013-05-20 15:00:00,4.751758,0.248242,1.000000,0.300000,0.500000
2013-05-20 16:00:00,5.819691,0.000000,1.000000,0.200000,0.500000
2013-05-20 17:00:00,4.180309,0.000000,1.000000,0.100000,0.497049
2013-05-20 18:00:00,0.000000,0.000000,1.000000,0.000000,0.500000
